case_id,case_type,court_name,ipc_section,duration_months,evidence_strength_score,prior_offenses,claimed_amount_inr,predicted_win_probability,case_outcome
CAS-2026-1029,Divorce & Maintenance,Madras High Court,NI Act 138 (Cheque Bounce),36,0.62,0,658745,58.6,Bail Granted
CAS-2026-1030,Cheque Bounce u/s 138,Supreme Court of India,IT Act 66D,13,0.19,0,9055427,68.6,Settlement Agreed
CAS-2026-1031,Bail Application,Madras High Court,IT Act 66D,7,0.88,0,8682851,80.5,Injunction Issued
CAS-2026-1032,Bail Application,Delhi High Court,IPC 379 (Theft),36,0.57,0,2970741,67.0,Settlement Agreed
CAS-2026-1033,Criminal Breach of Trust,Karnataka High Court,IPC 498A (Cruelty),47,0.72,1,8010091,50.6,Case Dismissed
CAS-2026-1034,Criminal Breach of Trust,Supreme Court of India,NI Act 138 (Cheque Bounce),9,0.47,0,717423,80.3,Case Dismissed
CAS-2026-1035,Cyber Fraud,Supreme Court of India,NI Act 138 (Cheque Bounce),32,0.6,0,9079250,90.6,Case Dismissed
CAS-2026-1036,Property Dispute,Bombay High Court,IPC 498A (Cruelty),11,0.94,0,9125639,77.6,Bail Denied
CAS-2026-1037,Cheque Bounce u/s 138,Bombay High Court,IPC 420 (Cheating),8,0.17,0,2965893,83.7,Case Dismissed
CAS-2026-1038,Cheque Bounce u/s 138,Karnataka High Court,NI Act 138 (Cheque Bounce),33,0.33,0,1350844,62.9,Injunction Issued
CAS-2026-1039,Cyber Fraud,District & Sessions Court,IPC 379 (Theft),23,0.79,0,1016094,54.2,Bail Denied
CAS-2026-1040,Contract Violation,Supreme Court of India,IPC 120B (Criminal Conspiracy),25,0.19,0,4389361,77.1,Bail Denied
CAS-2026-1041,Contract Violation,Karnataka High Court,IPC 120B (Criminal Conspiracy),8,0.17,1,9575593,61.4,Case Dismissed
CAS-2026-1042,Cyber Fraud,Bombay High Court,IPC 307 (Attempt to Murder),45,0.42,0,346889,88.0,Settlement Agreed
CAS-2026-1043,Contract Violation,Bombay High Court,IPC 307 (Attempt to Murder),22,0.18,0,6819142,51.1,Bail Granted
CAS-2026-1044,Criminal Breach of Trust,Supreme Court of India,IPC 120B (Criminal Conspiracy),4,0.62,2,1565088,66.7,Settlement Agreed
CAS-2026-1045,Cheque Bounce u/s 138,Madras High Court,IPC 120B (Criminal Conspiracy),40,0.3,0,6247878,64.8,Settlement Agreed
CAS-2026-1046,Cyber Fraud,Delhi High Court,IT Act 66D,3,0.9,1,6715316,91.9,Bail Denied
CAS-2026-1047,Cheque Bounce u/s 138,Bombay High Court,IPC 379 (Theft),29,0.8,0,5369262,52.7,Bail Denied
CAS-2026-1048,Bail Application,District & Sessions Court,IPC 498A (Cruelty),41,0.72,0,4284251,45.5,Bail Denied
CAS-2026-1049,Criminal Breach of Trust,District & Sessions Court,IPC 307 (Attempt to Murder),29,0.65,0,6938163,56.9,Injunction Issued
CAS-2026-1050,Divorce & Maintenance,Bombay High Court,IT Act 66D,34,0.87,0,4375542,86.0,Injunction Issued
CAS-2026-1051,Criminal Breach of Trust,Madras High Court,IT Act 66D,34,0.3,0,5336840,55.5,Bail Granted
CAS-2026-1052,Cyber Fraud,Madras High Court,IPC 498A (Cruelty),28,0.88,2,1843227,57.0,Bail Denied
CAS-2026-1053,Divorce & Maintenance,Karnataka High Court,IT Act 66D,13,0.8,0,7760064,51.5,Case Dismissed
CAS-2026-1054,Bail Application,District & Sessions Court,IPC 379 (Theft),15,0.77,0,686470,80.8,Bail Denied
CAS-2026-1055,Cyber Fraud,Karnataka High Court,IPC 120B (Criminal Conspiracy),23,0.6,0,7270364,48.5,Injunction Issued
CAS-2026-1056,Property Dispute,District & Sessions Court,NI Act 138 (Cheque Bounce),44,0.32,0,4074409,61.6,Bail Denied
CAS-2026-1057,Cheque Bounce u/s 138,Delhi High Court,IPC 498A (Cruelty),26,0.48,0,277216,59.1,Injunction Issued
CAS-2026-1058,Bail Application,Delhi High Court,IPC 120B (Criminal Conspiracy),4,0.81,0,4749292,72.8,Bail Denied
CAS-2026-1059,Cheque Bounce u/s 138,Supreme Court of India,IPC 120B (Criminal Conspiracy),26,0.13,1,2276512,81.5,Case Dismissed
CAS-2026-1060,Contract Violation,Karnataka High Court,IPC 420 (Cheating),40,0.8,3,3783460,71.6,Bail Granted
CAS-2026-1061,Property Dispute,Bombay High Court,IPC 498A (Cruelty),9,0.31,0,8612270,91.6,Case Dismissed
CAS-2026-1062,Property Dispute,Karnataka High Court,IT Act 66D,5,0.23,0,1918352,92.6,Injunction Issued
CAS-2026-1063,Bail Application,Bombay High Court,NI Act 138 (Cheque Bounce),32,0.2,2,3344571,63.1,Settlement Agreed
CAS-2026-1064,Property Dispute,Madras High Court,IPC 498A (Cruelty),20,0.12,1,2994558,83.9,Case Dismissed
CAS-2026-1065,Divorce & Maintenance,Karnataka High Court,IT Act 66D,11,0.57,0,9125046,81.9,Bail Denied
CAS-2026-1066,Property Dispute,Madras High Court,IPC 120B (Criminal Conspiracy),15,0.29,2,1580175,89.6,Bail Granted
CAS-2026-1067,Cheque Bounce u/s 138,Delhi High Court,NI Act 138 (Cheque Bounce),32,0.98,0,1929484,67.4,Bail Denied
CAS-2026-1068,Cheque Bounce u/s 138,Delhi High Court,IT Act 66D,28,0.61,2,1767690,71.5,Bail Denied
CAS-2026-1069,Cyber Fraud,Supreme Court of India,IPC 379 (Theft),22,0.22,0,4519425,65.8,Case Dismissed
CAS-2026-1070,Cheque Bounce u/s 138,Karnataka High Court,IT Act 66D,41,0.71,0,7317037,87.5,Bail Granted
CAS-2026-1071,Cyber Fraud,Madras High Court,IPC 420 (Cheating),17,0.9,1,5117226,56.5,Settlement Agreed
CAS-2026-1072,Cheque Bounce u/s 138,Bombay High Court,IPC 120B (Criminal Conspiracy),26,0.76,0,2846153,57.0,Bail Denied
CAS-2026-1073,Divorce & Maintenance,Delhi High Court,IT Act 66D,44,0.17,0,8460927,63.6,Bail Granted
CAS-2026-1074,Cyber Fraud,Delhi High Court,IPC 307 (Attempt to Murder),7,0.9,0,1204188,56.5,Settlement Agreed
CAS-2026-1075,Criminal Breach of Trust,Bombay High Court,IPC 307 (Attempt to Murder),42,0.81,2,7392496,73.1,Bail Denied
CAS-2026-1076,Contract Violation,Madras High Court,IPC 420 (Cheating),26,0.24,1,5225614,51.7,Bail Granted
CAS-2026-1077,Bail Application,Madras High Court,IPC 379 (Theft),25,0.15,1,3883112,61.0,Case Dismissed
CAS-2026-1078,Cheque Bounce u/s 138,Karnataka High Court,IPC 120B (Criminal Conspiracy),10,0.6,0,2406569,90.7,Bail Denied
CAS-2026-1079,Property Dispute,Karnataka High Court,IPC 498A (Cruelty),45,0.24,1,311463,65.5,Bail Denied
CAS-2026-1080,Cheque Bounce u/s 138,District & Sessions Court,IPC 420 (Cheating),19,0.84,0,7285300,82.4,Bail Granted
CAS-2026-1081,Property Dispute,District & Sessions Court,IPC 379 (Theft),11,0.42,0,368602,50.7,Bail Denied
CAS-2026-1082,Contract Violation,Supreme Court of India,IPC 498A (Cruelty),13,0.91,1,2494820,57.4,Settlement Agreed
CAS-2026-1083,Contract Violation,Delhi High Court,IPC 307 (Attempt to Murder),8,0.6,0,9150821,85.4,Bail Denied
CAS-2026-1084,Contract Violation,Karnataka High Court,IPC 307 (Attempt to Murder),40,0.26,0,5645501,83.1,Injunction Issued
CAS-2026-1085,Property Dispute,Madras High Court,IPC 498A (Cruelty),4,0.22,0,4836912,64.3,Settlement Agreed
CAS-2026-1086,Cheque Bounce u/s 138,Bombay High Court,IPC 420 (Cheating),47,0.61,0,2607720,92.7,Bail Granted
CAS-2026-1087,Contract Violation,Madras High Court,IPC 307 (Attempt to Murder),31,0.78,1,3842849,90.5,Settlement Agreed
CAS-2026-1088,Divorce & Maintenance,Delhi High Court,IPC 120B (Criminal Conspiracy),28,0.8,0,8582084,93.1,Injunction Issued
CAS-2026-1089,Cyber Fraud,District & Sessions Court,NI Act 138 (Cheque Bounce),11,0.35,1,214560,66.4,Injunction Issued
CAS-2026-1090,Property Dispute,Madras High Court,IT Act 66D,43,0.28,0,5215011,54.9,Bail Denied
CAS-2026-1091,Property Dispute,Supreme Court of India,IPC 498A (Cruelty),1,0.11,0,1449987,76.3,Bail Denied
CAS-2026-1092,Cheque Bounce u/s 138,Delhi High Court,IPC 498A (Cruelty),47,0.7,0,9357849,79.2,Case Dismissed
CAS-2026-1093,Property Dispute,District & Sessions Court,IPC 307 (Attempt to Murder),38,0.17,1,649656,51.3,Settlement Agreed
CAS-2026-1094,Property Dispute,Bombay High Court,IPC 420 (Cheating),24,0.47,0,3680885,84.3,Case Dismissed
CAS-2026-1095,Contract Violation,District & Sessions Court,IPC 120B (Criminal Conspiracy),47,0.64,2,7644022,45.9,Injunction Issued
CAS-2026-1096,Cheque Bounce u/s 138,Supreme Court of India,IPC 420 (Cheating),31,0.93,0,3503209,69.1,Bail Denied
CAS-2026-1097,Contract Violation,Delhi High Court,IPC 379 (Theft),41,0.38,0,3095785,61.6,Bail Denied
CAS-2026-1098,Cyber Fraud,Bombay High Court,IPC 379 (Theft),46,0.32,0,4080125,82.0,Bail Denied
CAS-2026-1099,Cyber Fraud,Supreme Court of India,NI Act 138 (Cheque Bounce),26,0.68,2,7001013,60.6,Bail Granted
CAS-2026-1100,Contract Violation,District & Sessions Court,IPC 307 (Attempt to Murder),5,0.65,1,1926629,86.3,Injunction Issued
CAS-2026-1101,Cyber Fraud,Supreme Court of India,IPC 307 (Attempt to Murder),20,0.4,0,5818365,74.7,Bail Denied
CAS-2026-1102,Cheque Bounce u/s 138,Delhi High Court,IPC 307 (Attempt to Murder),41,0.93,0,8389985,84.7,Injunction Issued
CAS-2026-1103,Bail Application,Karnataka High Court,NI Act 138 (Cheque Bounce),11,0.85,0,8580287,94.5,Bail Denied
CAS-2026-1104,Contract Violation,Supreme Court of India,IPC 379 (Theft),33,0.3,1,1439083,79.0,Settlement Agreed
CAS-2026-1105,Divorce & Maintenance,Supreme Court of India,IPC 420 (Cheating),38,0.31,0,5504672,94.2,Injunction Issued
CAS-2026-1106,Divorce & Maintenance,District & Sessions Court,NI Act 138 (Cheque Bounce),27,0.56,1,3803367,46.4,Case Dismissed
CAS-2026-1107,Property Dispute,District & Sessions Court,NI Act 138 (Cheque Bounce),34,0.79,2,8075343,61.9,Bail Granted
CAS-2026-1108,Cyber Fraud,Bombay High Court,IPC 420 (Cheating),15,0.14,0,6034385,50.4,Case Dismissed
CAS-2026-1109,Divorce & Maintenance,District & Sessions Court,IPC 307 (Attempt to Murder),32,0.72,1,3990702,58.1,Injunction Issued
CAS-2026-1110,Property Dispute,Madras High Court,IPC 120B (Criminal Conspiracy),21,0.68,0,2474151,86.9,Bail Denied
CAS-2026-1111,Bail Application,Delhi High Court,IPC 420 (Cheating),46,0.31,0,6820841,46.6,Injunction Issued
CAS-2026-1112,Cheque Bounce u/s 138,Delhi High Court,IPC 379 (Theft),5,0.71,0,7701709,71.0,Bail Granted
CAS-2026-1113,Cheque Bounce u/s 138,Karnataka High Court,IPC 498A (Cruelty),6,0.94,0,277476,73.4,Injunction Issued
CAS-2026-1114,Cheque Bounce u/s 138,Karnataka High Court,IPC 498A (Cruelty),38,0.14,1,1299217,73.1,Bail Denied
CAS-2026-1115,Divorce & Maintenance,Delhi High Court,IT Act 66D,22,0.38,0,2775877,68.8,Case Dismissed
CAS-2026-1116,Bail Application,Karnataka High Court,IT Act 66D,18,0.49,0,8406042,84.5,Settlement Agreed
CAS-2026-1117,Divorce & Maintenance,Bombay High Court,NI Act 138 (Cheque Bounce),14,0.9,0,3049908,51.7,Case Dismissed
CAS-2026-1118,Cyber Fraud,District & Sessions Court,IPC 498A (Cruelty),10,0.96,0,6576625,60.5,Bail Denied
CAS-2026-1119,Divorce & Maintenance,Delhi High Court,IPC 120B (Criminal Conspiracy),46,0.5,0,2031441,75.8,Bail Denied
CAS-2026-1120,Bail Application,Karnataka High Court,IPC 307 (Attempt to Murder),13,0.77,0,365033,79.5,Bail Granted
CAS-2026-1121,Bail Application,Delhi High Court,IPC 379 (Theft),31,0.57,0,9624338,65.2,Injunction Issued
CAS-2026-1122,Cyber Fraud,Madras High Court,IT Act 66D,30,0.58,1,6599998,88.8,Injunction Issued
CAS-2026-1123,Bail Application,Supreme Court of India,IPC 120B (Criminal Conspiracy),3,0.35,1,9645257,65.8,Case Dismissed
CAS-2026-1124,Bail Application,District & Sessions Court,IPC 379 (Theft),30,0.29,0,5562774,65.1,Settlement Agreed
CAS-2026-1125,Cheque Bounce u/s 138,Delhi High Court,IPC 379 (Theft),6,0.36,1,5918812,46.8,Settlement Agreed
CAS-2026-1126,Cyber Fraud,Supreme Court of India,IPC 307 (Attempt to Murder),29,0.6,0,6211053,72.6,Bail Granted
CAS-2026-1127,Criminal Breach of Trust,Karnataka High Court,NI Act 138 (Cheque Bounce),8,0.13,0,942329,80.4,Bail Denied
CAS-2026-1128,Criminal Breach of Trust,Supreme Court of India,IPC 498A (Cruelty),44,0.91,0,9682190,50.7,Bail Granted
CAS-2026-1129,Bail Application,District & Sessions Court,IPC 307 (Attempt to Murder),45,0.24,0,7843343,60.3,Injunction Issued
CAS-2026-1130,Criminal Breach of Trust,Delhi High Court,IPC 120B (Criminal Conspiracy),43,0.3,0,9377584,84.1,Bail Denied
CAS-2026-1131,Criminal Breach of Trust,Madras High Court,NI Act 138 (Cheque Bounce),44,0.56,1,274588,63.3,Bail Granted
CAS-2026-1132,Bail Application,Karnataka High Court,IPC 120B (Criminal Conspiracy),33,0.73,0,3873618,57.1,Case Dismissed
CAS-2026-1133,Criminal Breach of Trust,Delhi High Court,NI Act 138 (Cheque Bounce),17,0.19,1,7736805,78.6,Injunction Issued
CAS-2026-1134,Divorce & Maintenance,District & Sessions Court,IT Act 66D,11,0.38,0,1630332,54.8,Settlement Agreed
CAS-2026-1135,Property Dispute,Karnataka High Court,IPC 120B (Criminal Conspiracy),13,0.96,1,4839023,89.8,Bail Granted
CAS-2026-1136,Cyber Fraud,Bombay High Court,IPC 307 (Attempt to Murder),11,0.33,0,7627837,50.3,Injunction Issued
CAS-2026-1137,Property Dispute,Supreme Court of India,NI Act 138 (Cheque Bounce),31,0.38,0,1133290,80.3,Injunction Issued
CAS-2026-1138,Bail Application,District & Sessions Court,NI Act 138 (Cheque Bounce),28,0.84,0,4725535,70.0,Settlement Agreed
CAS-2026-1139,Cheque Bounce u/s 138,Bombay High Court,IPC 379 (Theft),44,0.14,0,6947129,88.5,Settlement Agreed
CAS-2026-1140,Cyber Fraud,Delhi High Court,IPC 379 (Theft),6,0.51,0,7558136,51.3,Settlement Agreed
CAS-2026-1141,Bail Application,Madras High Court,IPC 420 (Cheating),41,0.44,1,3258546,78.9,Bail Granted
CAS-2026-1142,Cheque Bounce u/s 138,Karnataka High Court,IPC 120B (Criminal Conspiracy),16,0.38,0,8970046,73.6,Settlement Agreed
CAS-2026-1143,Property Dispute,Supreme Court of India,IPC 379 (Theft),4,0.35,1,4868424,69.0,Case Dismissed
CAS-2026-1144,Bail Application,Karnataka High Court,IPC 420 (Cheating),35,0.18,0,6170243,69.6,Injunction Issued
CAS-2026-1145,Cyber Fraud,Delhi High Court,IT Act 66D,26,0.38,1,1358542,81.1,Settlement Agreed
CAS-2026-1146,Cyber Fraud,Karnataka High Court,IT Act 66D,12,0.14,0,9609388,91.9,Injunction Issued
CAS-2026-1147,Contract Violation,Supreme Court of India,IPC 379 (Theft),11,0.8,0,7449953,49.6,Bail Denied
CAS-2026-1148,Divorce & Maintenance,Delhi High Court,IPC 120B (Criminal Conspiracy),37,0.45,2,4172091,46.0,Bail Denied
CAS-2026-1149,Criminal Breach of Trust,Karnataka High Court,NI Act 138 (Cheque Bounce),25,0.5,0,9792748,85.3,Settlement Agreed
CAS-2026-1150,Cheque Bounce u/s 138,Madras High Court,IPC 498A (Cruelty),18,0.9,0,7514440,50.4,Injunction Issued
CAS-2026-1151,Contract Violation,District & Sessions Court,IPC 120B (Criminal Conspiracy),19,0.69,0,3893868,94.3,Bail Denied
CAS-2026-1152,Criminal Breach of Trust,Delhi High Court,IPC 307 (Attempt to Murder),23,0.11,0,1691711,76.0,Settlement Agreed
CAS-2026-1153,Criminal Breach of Trust,District & Sessions Court,IT Act 66D,38,0.94,0,1728853,77.5,Injunction Issued
CAS-2026-1154,Bail Application,Delhi High Court,IPC 379 (Theft),18,0.31,1,2158721,54.9,Settlement Agreed
CAS-2026-1155,Criminal Breach of Trust,Madras High Court,IPC 379 (Theft),26,0.2,0,2060391,57.0,Injunction Issued
CAS-2026-1156,Divorce & Maintenance,District & Sessions Court,NI Act 138 (Cheque Bounce),6,0.78,0,4757448,78.0,Bail Denied
CAS-2026-1157,Cyber Fraud,Bombay High Court,IPC 307 (Attempt to Murder),4,0.55,0,7492367,90.5,Settlement Agreed
CAS-2026-1158,Contract Violation,Supreme Court of India,NI Act 138 (Cheque Bounce),44,0.49,0,6256225,94.1,Bail Denied
CAS-2026-1159,Criminal Breach of Trust,Bombay High Court,IPC 307 (Attempt to Murder),29,0.32,0,4176773,54.9,Settlement Agreed
CAS-2026-1160,Bail Application,Karnataka High Court,IPC 498A (Cruelty),34,0.59,1,5493333,51.7,Bail Granted
CAS-2026-1161,Divorce & Maintenance,Madras High Court,IT Act 66D,17,0.34,0,4612121,47.8,Bail Denied
CAS-2026-1162,Property Dispute,Bombay High Court,IPC 379 (Theft),43,0.9,1,7008008,88.4,Bail Denied
CAS-2026-1163,Cyber Fraud,Delhi High Court,IPC 379 (Theft),43,0.29,0,8547680,59.7,Case Dismissed
CAS-2026-1164,Cyber Fraud,Karnataka High Court,IPC 498A (Cruelty),16,0.89,0,3983337,45.1,Bail Denied
CAS-2026-1165,Contract Violation,Karnataka High Court,IPC 420 (Cheating),2,0.6,0,6000726,56.2,Injunction Issued
CAS-2026-1166,Cyber Fraud,Bombay High Court,IT Act 66D,34,0.84,0,2263843,62.0,Settlement Agreed
CAS-2026-1167,Criminal Breach of Trust,Bombay High Court,NI Act 138 (Cheque Bounce),8,0.73,0,2862594,94.5,Bail Granted
CAS-2026-1168,Bail Application,Madras High Court,IPC 498A (Cruelty),13,0.72,0,7786281,71.2,Injunction Issued
CAS-2026-1169,Cyber Fraud,Supreme Court of India,NI Act 138 (Cheque Bounce),42,0.39,1,4301390,55.2,Injunction Issued
CAS-2026-1170,Cyber Fraud,Bombay High Court,IPC 120B (Criminal Conspiracy),8,0.31,0,8878570,61.7,Injunction Issued
CAS-2026-1171,Property Dispute,Bombay High Court,IPC 379 (Theft),30,0.29,1,3577899,61.5,Injunction Issued
CAS-2026-1172,Property Dispute,District & Sessions Court,NI Act 138 (Cheque Bounce),32,0.86,0,9290288,46.0,Bail Granted
CAS-2026-1173,Cheque Bounce u/s 138,Delhi High Court,IPC 307 (Attempt to Murder),36,0.83,2,4231279,51.8,Case Dismissed
CAS-2026-1174,Divorce & Maintenance,District & Sessions Court,NI Act 138 (Cheque Bounce),47,0.49,1,9431137,79.8,Bail Denied
CAS-2026-1175,Criminal Breach of Trust,District & Sessions Court,IPC 120B (Criminal Conspiracy),30,0.22,0,2186172,51.0,Injunction Issued
CAS-2026-1176,Cyber Fraud,Karnataka High Court,IT Act 66D,1,0.44,1,1465265,56.5,Bail Denied
CAS-2026-1177,Cyber Fraud,Supreme Court of India,IPC 379 (Theft),43,0.65,0,3342222,62.5,Bail Denied
CAS-2026-1178,Bail Application,Delhi High Court,IPC 498A (Cruelty),39,0.5,1,8604589,82.9,Injunction Issued
CAS-2026-1179,Cheque Bounce u/s 138,Madras High Court,IPC 120B (Criminal Conspiracy),17,0.79,0,7422933,74.1,Case Dismissed
CAS-2026-1180,Divorce & Maintenance,Madras High Court,IPC 379 (Theft),20,0.99,0,9810622,79.4,Bail Denied
CAS-2026-1181,Cheque Bounce u/s 138,Bombay High Court,NI Act 138 (Cheque Bounce),24,0.27,1,8777177,73.4,Settlement Agreed
CAS-2026-1182,Contract Violation,Bombay High Court,IT Act 66D,22,0.51,0,9212679,79.2,Bail Denied
CAS-2026-1183,Divorce & Maintenance,Madras High Court,IPC 420 (Cheating),29,0.48,0,3356505,45.1,Injunction Issued
CAS-2026-1184,Cyber Fraud,Bombay High Court,IT Act 66D,22,0.37,1,8891249,91.5,Bail Granted
CAS-2026-1185,Cyber Fraud,Supreme Court of India,IPC 420 (Cheating),44,0.28,0,4912056,50.5,Bail Denied
CAS-2026-1186,Divorce & Maintenance,District & Sessions Court,IPC 307 (Attempt to Murder),9,0.16,0,3876764,65.3,Case Dismissed
CAS-2026-1187,Cyber Fraud,Bombay High Court,IT Act 66D,37,0.89,0,1615538,83.6,Settlement Agreed
CAS-2026-1188,Criminal Breach of Trust,Karnataka High Court,IPC 379 (Theft),10,0.47,0,4949666,66.8,Settlement Agreed
CAS-2026-1189,Divorce & Maintenance,Bombay High Court,IPC 420 (Cheating),36,0.54,3,3499618,92.3,Bail Granted
CAS-2026-1190,Cheque Bounce u/s 138,Delhi High Court,IPC 498A (Cruelty),37,0.92,0,6825630,68.4,Bail Granted
CAS-2026-1191,Divorce & Maintenance,Supreme Court of India,IPC 379 (Theft),28,0.79,0,3504629,88.7,Bail Denied
CAS-2026-1192,Cyber Fraud,Delhi High Court,IPC 498A (Cruelty),28,0.22,0,2292848,85.5,Injunction Issued
CAS-2026-1193,Criminal Breach of Trust,Delhi High Court,IT Act 66D,42,0.6,1,2873219,94.0,Case Dismissed
CAS-2026-1194,Criminal Breach of Trust,Karnataka High Court,IPC 498A (Cruelty),43,0.49,0,4964912,91.3,Settlement Agreed
CAS-2026-1195,Contract Violation,Supreme Court of India,IPC 420 (Cheating),21,0.81,0,1744173,89.9,Bail Granted
CAS-2026-1196,Cheque Bounce u/s 138,Supreme Court of India,IPC 379 (Theft),24,0.74,2,9457832,81.6,Case Dismissed
CAS-2026-1197,Property Dispute,Supreme Court of India,NI Act 138 (Cheque Bounce),42,0.71,0,4361725,63.3,Injunction Issued
CAS-2026-1198,Property Dispute,Supreme Court of India,IPC 120B (Criminal Conspiracy),40,0.4,0,8725044,50.3,Settlement Agreed
CAS-2026-1199,Divorce & Maintenance,Supreme Court of India,IPC 420 (Cheating),2,0.82,0,5645636,79.4,Settlement Agreed
CAS-2026-1200,Contract Violation,Karnataka High Court,IPC 420 (Cheating),8,0.15,0,5880618,93.9,Injunction Issued
CAS-2026-1201,Bail Application,Bombay High Court,NI Act 138 (Cheque Bounce),27,0.24,0,5352371,81.3,Settlement Agreed
CAS-2026-1202,Divorce & Maintenance,Delhi High Court,IPC 379 (Theft),22,0.4,0,2314178,91.4,Injunction Issued
CAS-2026-1203,Contract Violation,Supreme Court of India,IPC 379 (Theft),37,0.17,1,174804,85.2,Settlement Agreed
CAS-2026-1204,Cheque Bounce u/s 138,Bombay High Court,IT Act 66D,27,0.31,0,3076877,53.2,Bail Denied
CAS-2026-1205,Cheque Bounce u/s 138,Bombay High Court,IPC 498A (Cruelty),29,0.84,1,3889514,57.5,Injunction Issued
CAS-2026-1206,Cheque Bounce u/s 138,Delhi High Court,IT Act 66D,3,0.94,0,5057107,62.1,Case Dismissed
CAS-2026-1207,Cheque Bounce u/s 138,Karnataka High Court,NI Act 138 (Cheque Bounce),44,0.37,1,2072871,53.4,Bail Denied
CAS-2026-1208,Cheque Bounce u/s 138,Madras High Court,IT Act 66D,13,0.34,1,2040483,74.1,Case Dismissed
CAS-2026-1209,Contract Violation,Madras High Court,NI Act 138 (Cheque Bounce),45,0.35,0,3011898,93.8,Settlement Agreed
CAS-2026-1210,Contract Violation,Bombay High Court,IPC 379 (Theft),10,0.35,0,8975943,83.1,Case Dismissed
CAS-2026-1211,Criminal Breach of Trust,District & Sessions Court,IPC 498A (Cruelty),36,0.13,0,5327365,66.2,Bail Denied
